@relation MidiTracks

@attribute melody {YES,NO}
@attribute normalizedDuration numeric
@attribute numberOfNotes numeric
@attribute occupationRate numeric
@attribute polyphonyRate numeric
@attribute highestPith numeric
@attribute normHighestPitch numeric
@attribute lowestPitch numeric
@attribute normLowestPitch numeric
@attribute pitchMean numeric
@attribute normPitchMean numeric
@attribute pitchDeviation numeric
@attribute normPitchDeviation numeric
@attribute numberOfDifferentIntervals numeric
@attribute normNumberOfDifferentIntervals numeric
@attribute largestInterval numeric
@attribute normLargestInterval numeric
@attribute smallestInterval numeric
@attribute normSmallestInterval numeric
@attribute intervalMean numeric
@attribute normIntervalMean numeric
@attribute intervalMode numeric
@attribute normIntervalMode numeric
@attribute intervalDeviation numeric
@attribute normIntervalDeviation numeric
@attribute longestNote numeric
@attribute normLongestNote numeric
@attribute shortestNote numeric
@attribute normShortestNote numeric
@attribute durationMean numeric
@attribute normDurationMean numeric
@attribute durationDeviation numeric
@attribute normDurationDeviation numeric

@data
NO,0.205235,235,0.676383,0.324543,85,1,55,0.9,70.333333,1,7.914473,0.405288,27,0.809524,15,0.257143,-20,0.707317,0.017094,0.841968,2,1,4.997406,0.502539,2500,0.073359,125,0.504274,906.944444,0.257763,634.778444,0.110782
NO,0,174,0.769227,0.231718,71,0.65,58,1,65,0.843961,4.046604,0,10,0,6,0,-8,1,0.023121,1,0,0,3.338259,0.030388,2245.833333,0.065508,245.833333,1,954.166667,0.272731,834.37435,0.146634
YES,?,356,0.889632,0.112027,73,0.558824,54,0.395833,64.692308,0.489427,5.689188,0.443461,14,0.25,7,0.2,-15,0.571429,0.042254,1,0,1,2.385618,0.127806,2995.833333,0.252307,125,0.030998,909.068627,0.204121,692.008,0.182696
NO,?,1452,0.983278,0,86,0.941176,42,0.145833,66.90625,0.55117,12.829067,1,53,1,33,0.942857,-33,0.057143,0.006203,0.958555,0,1,8.48207,0.454416,3500,0.295672,125,0.030998,980.347222,0.221136,876.401892,0.232439
NO,?,190,0.983278,0.017545,54,0,42,0.145833,47.571429,0.011952,4.237828,0.33033,12,0.211538,7,0.2,-12,0.657143,0.021164,0.975755,0,1,2.490102,0.133404,7833.333333,0.668399,245.833333,0.061214,1692.156863,0.391048,1769.989639,0.473494
NO,?,30,0.996656,0,81,0.794118,54,0.395833,67.375,0.564243,9.095844,0.709003,10,0.173077,9,0.257143,-8,0.771429,-0.827586,0,-4,0.75,5.003922,0.268079,375,0.026879,125,0.030998,250,0.046799,72.168784,0.015488
NO,?,264,0.971154,0,88,1,57,0.458333,72.619048,0.710491,9.529284,0.742789,25,0.461538,25,0.714286,-12,0.657143,-0.038023,0.907711,-3,0.8125,6.993104,0.374647,11688.541667,1,125,0.030998,2516.111111,0.587729,3721.735066,1
NO,?,2261,0.987211,0,70,0.470588,35,0,47.142857,0,9.093617,0.708829,44,0.826923,35,1,-35,0,-0.003097,0.947863,-16,0,18.665867,1,62.5,0,1.041667,0,53.947368,0,14.756874,0
NO,?,30,0.996656,0,81,0.794118,54,0.395833,67.375,0.564243,9.095844,0.709003,9,0.153846,9,0.257143,-8,0.771429,-0.724138,0.118928,-4,0.75,4.798682,0.257083,375,0.026879,125,0.030998,250,0.046799,72.168784,0.015488
NO,?,190,0.983278,0.017545,54,0,42,0.145833,47.571429,0.011952,4.237828,0.33033,12,0.211538,7,0.2,-12,0.657143,0.021164,0.975755,0,1,2.490102,0.133404,3995.833333,0.338321,245.833333,0.061214,1308.333333,0.299427,907.86494,0.240926
