@relation MidiTracks

@attribute melody {YES,NO}
@attribute normalizedDuration numeric
@attribute numberOfNotes numeric
@attribute occupationRate numeric
@attribute polyphonyRate numeric
@attribute highestPith numeric
@attribute normHighestPitch numeric
@attribute lowestPitch numeric
@attribute normLowestPitch numeric
@attribute pitchMean numeric
@attribute normPitchMean numeric
@attribute pitchDeviation numeric
@attribute normPitchDeviation numeric
@attribute numberOfDifferentIntervals numeric
@attribute normNumberOfDifferentIntervals numeric
@attribute largestInterval numeric
@attribute normLargestInterval numeric
@attribute smallestInterval numeric
@attribute normSmallestInterval numeric
@attribute intervalMean numeric
@attribute normIntervalMean numeric
@attribute intervalMode numeric
@attribute normIntervalMode numeric
@attribute intervalDeviation numeric
@attribute normIntervalDeviation numeric
@attribute longestNote numeric
@attribute normLongestNote numeric
@attribute shortestNote numeric
@attribute normShortestNote numeric
@attribute durationMean numeric
@attribute normDurationMean numeric
@attribute durationDeviation numeric
@attribute normDurationDeviation numeric

@data
NO,1,61,0.97093,0.030019,75,0.475,63,0.794118,68.571429,0.643757,4.100771,0.170393,7,0.095238,3,0.017241,-6,0.947368,-0.066667,0.093082,2,0.375,2.535525,0.028223,2994.791667,0.194969,244.791667,0.160839,941.220238,0.271758,756.9828,0.155091
NO,0.99991,568,0.941855,0,79,0.575,63,0.794118,71.875,0.751995,4.935522,0.220238,13,0.238095,8,0.103448,-7,0.929825,0.007055,0.264081,0,0.25,2.764722,0.049691,88.541667,0,67.708333,0.041958,81.597222,0,9.820928,0
NO,0.545455,20,0.803915,0.294094,78,0.55,58,0.647059,68.142857,0.629716,6.356742,0.305103,9,0.142857,20,0.310345,-17,0.754386,0.157895,0.61396,-3,0.0625,7.527236,0.495785,14994.791667,1,744.791667,0.496503,3244.791667,1,4827.377283,1
NO,0.883117,401,0.727267,0.279205,80,0.6,58,0.647059,68.4375,0.639369,6.585673,0.318773,24,0.5,17,0.258621,-12,0.842105,-0.03,0.178131,-4,0,5.689385,0.323638,2994.791667,0.194969,244.791667,0.160839,1244.791667,0.367728,919.866211,0.188902
NO,0.883117,124,0.701292,0,61,0.125,41,0.147059,51.214286,0.075069,6.119974,0.290965,22,0.452381,15,0.224138,-15,0.789474,-0.065041,0.096853,-2,0.125,4.948088,0.254202,2994.791667,0.194969,244.791667,0.160839,1369.791667,0.407245,986.893274,0.202815
NO,1,38,0.988372,0.017422,75,0.475,61,0.735294,68.5,0.641417,4.44058,0.190684,17,0.333333,9,0.12069,-10,0.877193,0.324324,1,8,0.75,5.868164,0.340384,5994.791667,0.396226,1494.791667,1,2619.791667,0.802415,1452.368755,0.299436
NO,0,12,0.888867,0.166506,56,0,53,0.5,54.666667,0.188183,1.247219,0,3,0,2,0,-3,1,-0.090909,0.036851,-3,0.0625,2.234219,0,2994.791667,0.194969,1494.791667,1,2094.791667,0.636443,734.846923,0.150497
NO,1,497,0.988372,0,75,0.475,53,0.5,64,0.493979,5.03736,0.226319,21,0.428571,12,0.172414,-13,0.824561,0.022177,0.299159,3,0.4375,5.143653,0.27252,5994.791667,0.396226,244.791667,0.160839,1589.619253,0.47674,1253.2953,0.258113
NO,1,298,0.988372,0.017422,58,0.05,39,0.088235,48.923077,0,5.87644,0.276423,27,0.571429,14,0.206897,-15,0.789474,-0.016835,0.208668,12,1,8.043844,0.544175,5994.791667,0.396226,244.791667,0.160839,1709.077381,0.514505,1172.059934,0.241251
NO,1,291,0.941859,0.063935,73,0.425,41,0.147059,56.210526,0.238765,9.45671,0.490211,31,0.666667,20,0.310345,-19,0.719298,0,0.247718,0,0.25,6.391805,0.389432,5994.791667,0.396226,5.208333,0,1472.005208,0.439558,1238.873105,0.255119
NO,0.997835,699,0.988349,0.014543,96,1,36,0,52.538462,0.118454,17.994082,1,45,1,60,1,-60,0,0.055874,0.377319,0,0.25,12.910249,1,1744.791667,0.111111,5.208333,0,574.032738,0.155677,447.088271,0.090765
YES,?,202,0.841439,0.159236,81,0.673913,65,1,73.923077,1,4.953034,0,15,0,12,0,-7,1,0.014925,0.93297,-2,0.416667,2.763439,0,3208.333333,0.618605,15.625,0.142857,399.005682,0.047533,507.521695,0.579572
NO,?,73,0.770839,0.22974,77,0.586957,46,0.486486,63.764706,0.712008,8.509714,0.34664,23,0.205128,16,0.111111,-21,0.688889,-0.055556,0.655689,-2,0.416667,7.047239,0.477861,1822.916667,0,78.125,1,379.807692,0,338.997237,0
NO,?,1220,0.918983,0,96,1,38,0.27027,63.485714,0.704098,15.213474,1,54,1,48,1,-52,0,-0.011485,0.829069,-12,0,11.727975,1,3989.583333,0.967442,5.208333,0,783.693825,1,629.771266,1
NO,?,472,0.993056,0.007909,50,0,28,0,38.65,0,6.166644,0.118281,22,0.179487,17,0.138889,-12,0.888889,-0.004246,0.857546,2,0.583333,4.990009,0.248375,4000,0.972093,5.208333,0,465.083146,0.211137,446.201687,0.368686
NO,?,73,0.47455,0.526029,77,0.586957,46,0.486486,63.764706,0.712008,8.509714,0.34664,23,0.205128,18,0.166667,-19,0.733333,-0.222222,0,0,0.5,6.394925,0.405095,1822.916667,0,78.125,1,394.931891,0.037447,364.552885,0.087888
NO,?,170,0.54515,0.455525,81,0.673913,50,0.594595,67.863636,0.828213,8.971143,0.391612,26,0.282051,17,0.138889,-17,0.777778,0.017751,0.944088,-2,0.416667,7.437689,0.521416,3208.333333,0.618605,15.625,0.142857,540.431701,0.397696,600.976296,0.900971
NO,?,439,0.993056,0,74,0.521739,45,0.459459,59.4375,0.58933,8.403636,0.336302,26,0.282051,19,0.194444,-19,0.733333,0.031963,1,12,1,9.990812,0.806218,4062.5,1,20.833333,0.214286,488.194444,0.26836,524.941725,0.639481
NO,?,439,0.993056,0,86,0.782609,48,0.540541,68.210526,0.838048,10.787805,0.568667,28,0.333333,27,0.416667,-19,0.733333,0.022831,0.964072,-12,0,9.844426,0.789889,4062.5,1,20.833333,0.214286,488.194444,0.26836,524.941725,0.639481
NO,?,170,0.542835,0.45784,81,0.673913,50,0.594595,67.863636,0.828213,8.971143,0.391612,24,0.230769,15,0.083333,-17,0.777778,-0.12426,0.385395,-2,0.416667,6.934346,0.465267,3208.333333,0.618605,15.625,0.142857,542.860243,0.403709,603.624581,0.910079
NO,?,1262,0.953705,0.048248,51,0.021739,29,0.027027,41.727273,0.087241,5.98621,0.100695,34,0.487179,22,0.277778,-22,0.666667,-0.005551,0.852413,0,0.5,9.532238,0.755064,2244.791667,0.188372,5.208333,0,448.168973,0.169259,407.952199,0.237143
YES,0,261,0.897372,0.103697,88,0.877193,74,0.96,79.857143,0.89767,4.323642,0.369995,11,0.304348,10,0.285714,-9,0.588235,-0.011538,0.229578,-2,0.416667,2.440811,0.163069,366.666667,0.127451,85.416667,0.634615,166.575292,0.081602,70.937204,0.054993
NO,0.955007,987,0.976735,0.024428,38,0,26,0,31.818182,0,3.663535,0.292923,12,0.347826,9,0.238095,-12,0.411765,-0.001014,0.279188,0,0.583333,3.212078,0.274319,800,0.382353,16.666667,0,244.871795,0.207002,254.54288,0.351147
NO,0.943484,1368,0.976688,0,71,0.578947,52,0.52,61.428571,0.553309,5.499536,0.507288,24,0.869565,15,0.52381,-15,0.235294,0.001463,0.290865,4,0.916667,5.430413,0.594298,800,0.382353,125,1,460.714286,0.552696,265.873608,0.369423
NO,0.901235,723,0.992171,0,71,0.578947,51,0.5,59.333333,0.514156,5.691124,0.529658,25,0.913043,11,0.333333,-19,0,0.009695,0.329671,5,1,5.120559,0.549604,1600,0.852941,100,0.769231,471.153846,0.569416,535.638203,0.804551
NO,0.714403,116,0.853202,0.147608,83,0.789474,52,0.52,68.157895,0.679055,8.86307,0.900003,27,1,17,0.619048,-19,0,0,0.283968,2,0.75,8.243047,1,937.5,0.463235,16.666667,0,531.770833,0.6665,339.474276,0.48814
NO,0.860631,80,0.993099,0.007295,95,1,76,1,85.333333,1,5.705748,0.531365,11,0.304348,8,0.190476,-12,0.411765,0.151899,1,5,1,6.046421,0.683152,1850,1,100,0.769231,740,1,656.810475,1
NO,0.955007,416,0.829391,0.171093,76,0.666667,50,0.48,60.555556,0.536995,9.719523,1,12,0.347826,25,1,-19,0,-0.060241,0,0,0.583333,4.706697,0.489907,150,0,62.5,0.423077,115.625,0,36.843207,0
NO,0.956653,820,0.97868,0.02287,40,0.035088,36,0.2,38,0.115515,1.154701,0,4,0,4,0,-2,1,-0.002442,0.272457,0,0.583333,1.507002,0.028374,400,0.147059,100,0.769231,230.357143,0.183755,118.762307,0.132135
NO,0.961591,1329,0.976762,0.035244,50,0.210526,36,0.2,42.7,0.203341,4.495553,0.390067,15,0.478261,11,0.333333,-11,0.470588,0,0.283968,0,0.583333,1.310293,0,800,0.382353,100,0.769231,228.977273,0.181545,199.40025,0.262203
NO,1,753,0.937488,0,50,0.210526,37,0.22,43.333333,0.215176,4.189935,0.354384,23,0.826087,13,0.428571,-11,0.470588,-0.00133,0.2777,0,0.583333,3.681646,0.342051,800,0.382353,100,0.769231,270.075758,0.247369,195.050565,0.255187
NO,0.956653,2303,0.945731,0,77,0.684211,62,0.72,68.8,0.691053,4.874423,0.434302,13,0.391304,10,0.285714,-10,0.529412,-0.003041,0.269634,-7,0,5.933712,0.666895,200,0.029412,100,0.769231,142.857143,0.043615,49.487166,0.020395
YES,0.921218,188,0.910459,0.093776,75,0.558824,59,0.68,67.357143,0.678775,4.497732,0.220686,11,0.125,12,0.205882,-7,0.864865,0.02139,0.184506,-2,0.125,3.043284,0.103136,4000,0.307665,66.666667,0.041899,589.90113,0.255436,582.927726,0.319967
NO,0.998995,980,0.991007,0,80,0.705882,37,0.24,57.837838,0.43563,12.301425,0.888854,60,1,36,0.911765,-36,0.081081,0.031665,0.187791,5,0.5625,11.123966,1,3566.666667,0.270759,4.166667,0,780.648148,0.366156,714.355296,0.396329
NO,0.888064,237,0.949969,0.05985,56,0,25,0,40.782609,0,8.861036,0.594281,28,0.428571,24,0.558824,-24,0.405405,0.080508,0.203411,0,0.25,8.065271,0.66052,3054.166667,0.227111,125,0.081006,1593.243243,0.837834,632.754708,0.348917
NO,1,107,0.993262,0,90,1,69,0.88,79.933333,1,5.813394,0.333336,11,0.125,7,0.058824,-10,0.783784,0.037736,0.189733,-2,0.125,2.476015,0.040176,5375,0.424769,31.25,0.018156,871.909722,0.41913,881.391545,0.493381
NO,1,107,0.993262,0,90,1,69,0.88,79.933333,1,5.813394,0.333336,11,0.125,7,0.058824,-10,0.783784,0.037736,0.189733,-2,0.125,2.476015,0.040176,5375,0.424769,31.25,0.018156,871.909722,0.41913,881.391545,0.493381
NO,0.879303,10,0.069726,0.933218,80,0.705882,75,1,77.75,0.944233,1.920286,0,4,0,5,0,-2,1,-0.555556,0,-2,0.125,2.114033,0,2500,0.179915,250,0.164804,1027.777778,0.509605,1041.57407,0.586451
NO,0.421731,8,0.011094,0,75,0.558824,57,0.64,66,0.64411,4.527693,0.223251,4,0,12,0.205882,-12,0.72973,2.571429,1,12,1,9.544739,0.824724,387.5,0,304.166667,0.201117,348.333333,0.115216,32.231799,0
NO,0,15,0.487617,0,81,0.735294,68,0.86,73.875,0.845256,4.196353,0.194881,9,0.089286,12,0.205882,-8,0.837838,-0.142857,0.13198,-4,0,5.767608,0.405505,2050,0.14159,1495.833333,1,1872.619048,1,166.008479,0.077727
NO,0.998933,200,0.775171,0,88,0.941176,37,0.24,64.285714,0.600324,13.59952,1,35,0.553571,31,0.764706,-31,0.216216,0.020101,0.184093,2,0.375,9.048146,0.769608,12129.166667,1,8.333333,0.002793,1864.166667,0.995094,1753.335408,1
NO,0.891141,1030,0.990025,0.025374,83,0.794118,36,0.22,46.818182,0.154162,12.719478,0.924649,20,0.285714,39,1,-39,0,-0.007775,0.175179,0,0.25,7.358113,0.582033,916.666667,0.045067,66.666667,0.041899,149.842767,0,149.281916,0.068009
YES,1,447,0.956717,0.043867,97,1,74,1,85.5,1,4.596194,0,15,0,12,0,-8,1,0.017937,1,-2,0.588235,4.196373,0.049399,712.5,0,41.666667,1,252.25,0,188.283013,0
NO,1,1938,0.989987,0,82,0.651163,26,0,55.764706,0.33865,15.193637,1,73,1,42,1,-48,0,0.002581,0.056536,-12,0,13.396479,1,2975,1,4.166667,0,458.929772,1,408.463128,1
NO,1,603,0.801043,0.199437,54,0,28,0.041667,40.538462,0,7.566275,0.280264,24,0.155172,20,0.266667,-17,0.775,0.001661,0,0,0.705882,3.718276,0,2962.5,0.994475,12.5,0.222222,260.37037,0.03929,279.023419,0.412119
NO,0,553,0.461431,0,73,0.44186,40,0.291667,56.875,0.363345,9.713875,0.482917,35,0.344828,24,0.4,-28,0.5,0.016304,0.899677,5,1,9.023204,0.548131,1008.333333,0.130755,29.166667,0.666667,339.64497,0.422852,246.399995,0.263952
YES,0.725275,250,0.938612,0.063434,75,0.928571,58,0.888889,66.538462,0.888876,5.062918,0.0896,16,0,11,0,-10,1,0.040161,1,2,1,3.065286,0,3479.166667,0.90621,200,1,1283.114035,1,925.545589,1
NO,0.683516,474,0.979529,0,75,0.928571,51,0.694444,62.681818,0.771831,6.784919,0.322347,28,0.255319,15,0.148148,-14,0.857143,-0.010571,0.076096,-4,0.142857,5.414128,0.213979,2400,0.577947,200,1,920.833333,0.679247,608.519646,0.601043
NO,0.989011,1172,0.979505,0,75,0.928571,34,0.222222,56.225806,0.575897,11.798605,1,63,1,38,1,-38,0,-0.00427,0.190847,-3,0.285714,14.042238,1,3787.5,1,16.666667,0.06383,490.99162,0.298677,509.730761,0.476723
NO,1,340,0.977041,0,77,1,62,1,70.2,1,4.4,0,21,0.106383,15,0.148148,-12,0.928571,-0.014749,0,-5,0,5.244727,0.198547,1991.666667,0.453739,25,0.106383,216.477273,0.055629,559.432541,0.53927
NO,0.881319,407,0.979568,0.02754,53,0.142857,26,0,37.25,0,7.279251,0.389161,22,0.12766,14,0.111111,-12,0.928571,-0.012315,0.044327,0,0.714286,4.010742,0.086131,1775,0.387833,4.166667,0,398.03523,0.216376,300.037319,0.212837
NO,0,1669,1,0.015456,49,0,35,0.25,42.333333,0.154274,4.714045,0.042447,22,0.12766,14,0.111111,-14,0.857143,0.007194,0.399627,0,0.714286,5.196263,0.194132,500,0,104.166667,0.510638,153.645833,0,130.90957,0
YES,0.999641,298,0.889387,0.113296,74,0.673077,58,1,66.866667,0.93542,4.558752,0.141844,13,0.146341,10,0.214286,-7,0.90625,0.003367,0.927812,0,0.8,2.196567,0,2260.416667,0.271883,52.083333,0.086957,599.144345,0.20053,643.131231,0.419192
NO,0.704562,189,0.660186,0,72,0.634615,56,0.942857,64,0.860656,3.464102,0.014705,17,0.243902,12,0.285714,-9,0.84375,0.069149,1,3,1,3.694519,0.182405,2000,0.238727,41.666667,0.065217,369.925214,0.114706,424.229388,0.269507
NO,0.999641,513,0.987878,0,87,0.923077,54,0.885714,69,0.991058,7.118052,0.439095,30,0.560976,22,0.642857,-24,0.375,0.009766,0.934833,3,1,5.556343,0.409118,3447.916667,0.423077,31.25,0.043478,616.15089,0.206897,621.653805,0.404506
NO,1,318,0.98788,0.033205,45,0.115385,27,0.114286,35.5,0.117362,4.558646,0.141831,17,0.243902,12,0.285714,-12,0.75,0.025237,0.951811,0,0.8,4.386601,0.266679,4031.25,0.497347,20.833333,0.021739,558.735994,0.1854,699.81403,0.457952
NO,0.999641,304,0.987878,0,91,1,49,0.742857,69.342857,1,11.947368,1,48,1,32,1,-36,0,-0.023102,0.898765,2,0.933333,9.61998,0.903944,7979.166667,1,72.916667,0.130435,1757.916667,0.634396,1492.513377,1
NO,0.999641,1253,0.987878,0,64,0.480769,39,0.457143,53.045455,0.574956,7.016068,0.42725,36,0.707317,19,0.535714,-24,0.375,0.003994,0.928499,-5,0.466667,7.507237,0.646677,3479.166667,0.427056,10.416667,0,528.062141,0.173915,629.403813,0.409806
NO,0.413254,20,0.98473,0,39,0,23,0,31,0,4.396969,0.123053,8,0.02439,12,0.285714,-16,0.625,-0.842105,0,-12,0,10.408818,1,3979.166667,0.490716,145.833333,0.282609,2734.375,1,1476.630626,0.989139
NO,0.982579,255,0.98628,0,75,0.692308,51,0.8,62.375,0.818275,7.140334,0.441683,27,0.487805,17,0.464286,-15,0.65625,0,0.924117,-7,0.333333,8.363776,0.750977,2375,0.286472,41.666667,0.065217,343.905473,0.104963,443.950801,0.282993
NO,0,18,0.626205,0,64,0.480769,54,0.885714,59.833333,0.751987,3.337497,0,7,0,4,0,-4,1,-0.176471,0.73046,-1,0.733333,2.455134,0.031486,2968.75,0.362069,489.583333,1,1070.138889,0.376879,741.546365,0.486489
NO,0.999641,996,0.987878,0,57,0.346154,36,0.371429,46.272727,0.39832,6.439804,0.36032,32,0.609756,21,0.607143,-21,0.46875,0.00402,0.928528,0,0.8,5.044325,0.346769,125,0,10.416667,0,63.568376,0,30.097597,0
NO,0.986462,338,0.835736,0,55,0,28,0,41.086957,0,7.088957,0.429063,27,0.461538,22,0.535714,-15,0.606061,-0.020772,0.083378,0,0.25,5.519013,0.114095,1008.333333,0.251303,29.166667,0.018809,428.865979,0.222065,263.855896,0.198669
NO,0.991589,411,0.835961,0,78,1,52,0.705882,63.777778,0.812911,7.420359,0.478951,33,0.576923,19,0.428571,-19,0.484848,-0.007317,0.093083,-7,0.055556,8.176555,0.250836,3216.666667,0.803962,162.5,0.119122,1137.137681,0.592403,845.558348,0.636661
NO,0.990147,438,0.834615,0,71,0.695652,34,0.176471,57.666667,0.593977,9.597453,0.806685,29,0.5,33,0.928571,-33,0.060606,-0.020595,0.083505,-9,0,7.351709,0.208394,1137.5,0.283629,137.5,0.100313,312.59058,0.161267,217.205102,0.163544
YES,0.951694,273,0.834197,0,76,0.913043,60,0.941176,68.272727,0.973945,4.769046,0.07983,16,0.25,12,0.178571,-7,0.848485,0.011029,0.106316,-2,0.194444,3.301608,0,3500,0.87487,250,0.184953,1333.333333,0.694989,1114.924013,0.839479
NO,0.971321,421,0.979276,0.025878,76,0.913043,52,0.705882,64.866667,0.851921,7.10743,0.431844,26,0.442308,17,0.357143,-14,0.636364,0.040476,0.127557,-2,0.194444,4.205527,0.04651,3500,0.87487,250,0.184953,1354.166667,0.705882,874.751949,0.658642
NO,0.394136,199,0.522866,0,69,0.608696,55,0.794118,61.818182,0.742707,4.238743,0,14,0.211538,8,0.035714,-11,0.727273,0.010101,0.105647,0,0.25,3.402302,0.005181,2500,0.624609,250,0.184953,1291.666667,0.673203,755.764881,0.569051
NO,0,9,0.750871,0.252613,76,0.913043,62,1,69,1,4.301163,0.009396,3,0,14,0.25,-2,1,1.25,1,0,0.25,4.892596,0.081863,3500,0.87487,250,0.184953,1916.666667,1,1328.114788,1
NO,0.97092,104,0.979381,0.061856,69,0.608696,52,0.705882,60.25,0.686526,5.198157,0.144427,14,0.211538,7,0,-7,0.848485,0.145631,0.203406,0,0.25,3.342599,0.002109,4000,1,500,0.373041,1800,0.938998,1208.304597,0.909789
NO,0.971001,1739,0.835055,0,70,0.652174,35,0.205882,47.583333,0.232736,10.881623,1,55,1,35,1,-35,0,-0.020138,0.083835,27,1,22.736423,1,4.166667,0,4.166667,0,4.166667,0,0,0
NO,1,676,0.979541,0.122754,62,0.304348,33,0.147059,48.238095,0.256193,8.05283,0.574162,28,0.480769,17,0.357143,-17,0.545455,0.031111,0.120801,0,0.25,8.441024,0.264444,4000,1,250,0.184953,1406.25,0.733115,1110.584728,0.836211
NO,0.996635,23,0.365201,0,57,0.086957,43,0.441176,50.777778,0.347179,4.416579,0.026771,11,0.153846,7,0,-11,0.727273,-0.136364,0,2,0.305556,4.505506,0.061945,2000,0.499479,1333.333333,1,1666.666667,0.869281,333.333333,0.250982
NO,0.996635,528,0.979523,0.005119,76,0.913043,52,0.705882,63.722222,0.810921,7.045925,0.422585,28,0.480769,14,0.25,-17,0.545455,0.017078,0.110679,-2,0.194444,5.321334,0.103923,4000,1,20.833333,0.012539,1781.702899,0.929431,1275.078582,0.960067
YES,0,400,0.963996,0.036994,80,0.806452,62,1,71,1,3.872983,0,15,0,7,0,-8,1,-0.012531,0,2,0.21875,3.105875,0,2666.666667,0.727273,16.666667,0,422.951197,0.625361,502.274717,0.744018
NO,1,419,0.9999,0.003506,55,0,33,0,43.47619,0,6.666327,0.348345,28,0.282609,17,0.357143,-14,0.777778,0,0.638353,-5,0,7.591862,0.286896,1837.5,0.486061,95.833333,0.730769,505.789474,0.822163,301.568933,0.437229
NO,0.973221,987,1,0,86,1,42,0.310345,62.833333,0.703287,11.891874,1,49,0.73913,27,0.714286,-31,0.148148,0.007099,1,4,0.28125,10.067065,0.445194,3604.166667,1,75,0.538462,580.645161,1,669.741354,1
NO,0.856942,3330,1,0,70,0.483871,35,0.068966,53.307692,0.3572,11.2891,0.924831,61,1,35,1,-35,0,-0.008111,0.225197,27,1,18.742174,1,166.666667,0,125,1,159.722222,0,15.52825,0
NO,1,602,0.983111,0.032089,50,0,29,0,39.8125,0,5.970958,0.207747,18,0.346154,14,0.219512,-16,0.888889,-0.011647,0.61025,0,0.714286,3.463361,0.132516,520.833333,0.042516,20.833333,0.043478,242.777778,0.07128,93.888375,0.04469
NO,1,186,0.945956,0,70,0.434783,53,0.685714,61.933333,0.590017,4.850659,0.126422,21,0.461538,10,0.121951,-12,1,-0.054054,0.436645,-5,0,5.663281,0.455486,12015.625,1,250,1,3270.273297,1,2100.878387,1
YES,1,205,0.945933,0.058782,65,0.326087,48,0.542857,58.727273,0.504504,4.937627,0.132735,17,0.307692,8,0.073171,-16,0.888889,0.039216,0.818472,0,0.714286,2.56072,0,1432.291667,0.118438,88.541667,0.326087,296.875,0.087875,231.457138,0.110172
NO,1,1144,0.983111,0,93,0.934783,31,0.057143,62.757576,0.612002,16.88469,1,35,1,46,1,-38,0.277778,0.020997,0.74389,-3,0.285714,6.298599,0.548756,1677.083333,0.138829,26.041667,0.065217,366.035857,0.10909,326.847104,0.155576
NO,1,260,0.983111,0.047288,94,0.956522,60,0.885714,77.16,0.99615,10.204626,0.515079,20,0.423077,13,0.195122,-12,1,-0.07722,0.341808,0,0.714286,3.783961,0.179583,4244.791667,0.352711,15.625,0.021739,899.569746,0.272758,1027.732893,0.489192
NO,1,271,0.983111,0.047288,91,0.891304,64,1,77.304348,1,8.078069,0.360707,26,0.653846,23,0.439024,-22,0.722222,0.025926,0.764066,2,1,5.86541,0.48516,5156.25,0.428633,10.416667,0,881.088119,0.267089,945.347378,0.449977
NO,1,372,0.792644,0.207919,96,1,48,0.542857,70.75,0.825179,14.063694,0.795217,9,0,5,0,-48,0,0.083558,1,2,1,9.372266,1,192.708333,0.015184,36.458333,0.108696,93.077957,0.025357,39.560379,0.01883
NO,1,57,0.87052,0.131474,74,0.521739,60,0.885714,67,0.725158,3.109126,0,12,0.115385,9,0.097561,-14,0.944444,-0.160714,0,2,1,4.100422,0.226043,6302.083333,0.524078,104.166667,0.391304,1626.869658,0.495866,1619.332555,0.770788
NO,0,1377,0.983108,0.016939,55,0.108696,36,0.2,46.5,0.178372,5.606915,0.18132,24,0.576923,19,0.341463,-19,0.805556,0.013808,0.714459,0,0.714286,5.608389,0.447427,10.416667,0,10.416667,0,10.416667,0,0,0
NO,0.980392,202,0.9375,0.083333,44,0.04,25,0,34.5,0,4.666369,0.403891,9,0.205128,9,0.28125,-7,0.774194,-0.00995,0.485909,0,0.208333,3.488417,0.255288,1000,0.181504,250,0.666667,583.333333,0.249697,246.503324,0.267832
NO,0.836601,217,0.770614,0.229386,73,0.62,37,0.218182,57.166667,0.442037,10.415,0.901455,32,0.794872,27,0.84375,-24,0.225806,-0.009259,0.488325,19,1,13.664631,1,2016.666667,0.392394,0,0,1368.229167,0.677304,541.321354,0.588158
NO,0.980392,953,0.9375,0,78,0.72,46,0.381818,63.043478,0.556644,9.489025,0.821309,40,1,28,0.875,-28,0.096774,0.010504,0.55742,-5,0,12.441286,0.910474,500,0.077787,0,0,250,0.068099,125,0.135815
NO,0.980392,169,0.9375,0,63,0.42,48,0.418182,55.692308,0.413284,4.426921,0.383166,20,0.487179,12,0.375,-10,0.677419,-0.053571,0.333405,-4,0.041667,5.266989,0.385447,2125,0.414866,250,0.666667,1266.666667,0.621973,586.657197,0.637417
NO,0.980392,212,0.770833,0.231771,63,0.42,30,0.090909,47.857143,0.260486,8.854838,0.766418,20,0.487179,9,0.28125,-31,0,0.023697,0.603542,5,0.416667,8.403024,0.614947,500,0.077787,125,0.333333,312.5,0.102149,98.821177,0.107372
NO,0.934641,95,0.770764,0,72,0.6,53,0.509091,63.533333,0.566197,6.04281,0.523027,16,0.384615,9,0.28125,-13,0.580645,-0.148936,0,-4,0.041667,4.656173,0.340746,4216.666667,0.848747,100,0.266667,743.128655,0.336753,882.714354,0.95909
YES,0,125,0.931848,0.073394,82,0.8,61,0.654545,72.25,0.736186,6.193074,0.536032,15,0.358974,10,0.3125,-13,0.580645,0.137097,1,-2,0.125,4.640868,0.339626,2250,0.440795,125,0.333333,989.583333,0.47102,642.37988,0.697961
NO,0.071895,76,0.8011,0,92,1,80,1,85.777778,1,3.764683,0.325847,14,0.333333,8,0.25,-7,0.774194,-0.066667,0.287622,-3,0.083333,3.238655,0.23701,4945.833333,1,4.166667,0.011111,1960.555556,1,920.366733,1
NO,1,48,0.328343,0,75,0.66,65,0.727273,69.857143,0.689522,3.440456,0.297784,7,0.153846,9,0.28125,-5,0.83871,0.106383,0.892621,-2,0.125,4.895652,0.358272,4237.5,0.853068,120.833333,0.322222,627.54065,0.273781,836.070646,0.90841
NO,0.784314,478,0.981747,0,70,0.56,38,0.236364,53.625,0.372969,11.553544,1,21,0.512821,32,1,-31,0,0,0.520696,-1,0.166667,11.711952,0.8571,625,0.103717,125,0.333333,375,0.136199,176.776695,0.192072
NO,0.784314,280,0.968709,0.396349,42,0,42,0.309091,42,0.146262,0,0,1,0,0,0,0,1,0,0.520696,0,0.208333,0,0,125,0,125,0.333333,125,0,0,0
NO,0.196078,40,0.968586,0.23582,63,0.42,63,0.690909,63,0.555796,0,0,1,0,0,0,0,1,0,0.520696,0,0.208333,0,0,625,0.103717,375,1,504.166667,0.206568,82.32726,0.08945
YES,0.77374,162,0.923648,0.079532,72,1,54,0.703704,63.75,1,5.651327,0.652896,14,0.481481,7,0.368421,-10,0.473684,0.018634,0.808039,-2,0.538462,3.824524,0.553822,3500,0.249535,166.666667,0.085714,721.600877,0.188385,655.773492,0.201617
NO,0.998273,295,0.977778,0.039916,45,0.25,35,0,40,0.144144,2.236068,0.258332,11,0.37037,9,0.473684,-7,0.631579,0.027211,0.876011,0,0.692308,2.969105,0.42995,4000,0.28521,65.104167,0.032653,534.481096,0.139358,397.531832,0.122221
NO,0.998849,849,0.977783,0,62,0.722222,42,0.259259,53.166667,0.618619,5.756639,0.665062,28,1,19,1,-19,0,0.009434,0.735137,3,0.923077,6.905693,1,4039.0625,0.287997,125,0.063946,611.941964,0.159653,485.537259,0.149278
NO,1,468,0.822331,0,71,0.972222,42,0.259259,56.793103,0.749301,8.655791,1,16,0.555556,7,0.368421,-19,0,0.006424,0.711284,4,1,5.060444,0.732793,4000,0.28521,184.895833,0.095238,861.655668,0.225081,719.867708,0.221322
NO,0.943867,97,0.818232,0,71,0.972222,52,0.62963,62.647059,0.960254,5.498034,0.635186,21,0.740741,9,0.473684,-11,0.421053,-0.083333,0,-9,0,5.696612,0.824915,14018.229167,1,1916.666667,1,3819.234914,1,3252.578177,1
NO,0.977547,71,0.981836,0,72,1,48,0.481481,59.5,0.846847,5.626389,0.650014,15,0.518519,7,0.368421,-10,0.473684,0.042857,1,-2,0.538462,3.603315,0.521789,3247.395833,0.231512,197.916667,0.102041,948.484848,0.247831,1030.873737,0.31694
